xxx 0000 0500 1000 1500 2000 2500 3000 3500 4000 4500
000 0000 0001 0001 0001 0001 0001 0001 0001 0001 0001
020 0000 0215 0165 0090 0060 0045 0025 0005 0001 0001
030 0000 0248 0225 0180 0150 0120 0100 0075 0050 0040
040 0000 0260 0255 0248 0225 0190 0160 0145 0135 0098
050 0000 0260 0275 0279 0270 0253 0240 0227 0195 0175
060 0000 0265 0280 0290 0295 0285 0267 0257 0245 0212
070 0000 0265 0283 0298 0301 0299 0290 0280 0263 0248
080 0000 0265 0285 0303 0305 0315 0310 0313 0291 0275
090 0000 0265 0285 0310 0315 0320 0320 0320 0312 0295
100 0000 0265 0285 0310 0315 0325 0330 0330 0317 0299
